title,runtime,metascore,rating,genre
Sweeney Todd: The Demon Barber of Fleet Street,116,83,7.4,drama
The Accountant,128,51,7.4,action
The Edge of Seventeen,104,77,7.4,comedy
The Judge,141,48,7.4,drama
The Nice Guys,116,70,7.4,action
Up in the Air,109,,7.4,drama
Zero Dark Thirty,157,95,7.4,drama
13 Hours,144,48,7.3,action
American Hustle,138,90,7.3,drama
American Sniper,133,72,7.3,action
Ant-Man,117,64,7.3,action
Blue Jasmine,98,78,7.3,drama
Chef,114,68,7.3,comedy
Dope,103,72,7.3,comedy
Eye in the Sky,102,73,7.3,drama
Fast Five,131,66,7.3,action
Fences,139,79,7.3,drama
Flight,138,76,7.3,drama
I Origins,106,57,7.3,drama
Kynodontas,94,73,7.3,drama
Lady Macbeth,89,83,7.3,drama
Lawless,116,58,7.3,drama
Megamind,95,63,7.3,action
Miss Sloane,132,64,7.3,drama
Monsters University,104,65,7.3,comedy
Mr. Brooks,120,45,7.3,drama
Pirates of the Caribbean: Dead Man's Chest,151,53,7.3,action
Precious,110,79,7.3,drama
Rescue Dawn,120,77,7.3,drama
Revolutionary Road,119,69,7.3,drama
RocknRolla,114,53,7.3,action
Silence,161,79,7.3,drama
Snowden,134,58,7.3,drama
The Book of Life,95,67,7.3,comedy
The Descendants,115,84,7.3,comedy
The Fountain,96,51,7.3,drama
The Great Gatsby,143,55,7.3,drama
The Man from U.N.C.L.E.,116,56,7.3,action
The Place Beyond the Pines,140,68,7.3,drama
The Road,111,,7.3,drama
The Secret Life of Walter Mitty,114,54,7.3,comedy
The Siege of Jadotville,108,83,7.3,action
True Crimes,92,43,7.3,drama
Woman in Gold,109,51,7.3,drama
Youth,124,64,7.3,comedy
10 Cloverfield Lane,104,76,7.2,drama
21 Jump Street,110,69,7.2,action
A Quiet Passion,125,77,7.2,drama
Brave,93,69,7.2,comedy
Bridge to Terabithia,96,74,7.2,drama
Carol,118,95,7.2,drama
Deepwater Horizon,107,68,7.2,action
Elle,130,89,7.2,drama
Forgetting Sarah Marshall,111,67,7.2,comedy
Fracture,113,68,7.2,drama
Furious Seven,137,67,7.2,action
I Am Legend,101,65,7.2,drama
Iron Man Three,130,62,7.2,action
John Wick,101,68,7.2,action
Kung Fu Panda 3,95,66,7.2,action
Let Me In,116,79,7.2,drama
Live Free or Die Hard,128,69,7.2,action
"Love, Rosie",102,44,7.2,comedy
Pitch Perfect,112,66,7.2,comedy
Remember Me,113,40,7.2,drama
Rocky Balboa,102,63,7.2,drama
Seven Psychopaths,110,66,7.2,comedy
Shame,101,72,7.2,drama
Shooter,124,53,7.2,action
Sing,108,59,7.2,comedy
Steve Jobs,122,82,7.2,drama
The Age of Adaline,112,51,7.2,drama
The Age of Shadows,140,78,7.2,action
The Butler,132,,7.2,drama
The Equalizer,132,57,7.2,action
The Founder,115,66,7.2,drama
The Kings of Summer,95,61,7.2,comedy
The Light Between Oceans,133,60,7.2,drama
The Man Who Knew Infinity,108,,7.2,drama
Unbroken,137,59,7.2,drama
Winter's Bone,100,,7.2,drama
22 Jump Street,112,71,7.1,action
5- 25- 77,113,,7.1,comedy
Allied,124,60,7.1,action
Body of Lies,128,57,7.1,action
Bone Tomahawk,132,72,7.1,drama
Bronson,92,,7.1,action
Cars,117,73,7.1,comedy
Colonia,106,33,7.1,drama
Concussion,123,,7.1,drama
Dredd,95,59,7.1,action
Easy A,92,72,7.1,comedy
Enchanted,107,75,7.1,comedy
Everest,121,64,7.1,action
Filth,97,,7.1,comedy
Furious 6,130,61,7.1,action
L'avenir,102,88,7.1,drama
Locke,85,81,7.1,drama
Loving,123,79,7.1,drama
Man of Steel,143,55,7.1,action
Melancholia,135,80,7.1,drama
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,118,76,7.1,drama
P.S. I Love You,126,,7.1,drama
Pirates of the Caribbean: At World's End,169,50,7.1,action
Planet Terror,105,55,7.1,action
Rambo,92,46,7.1,action
Real Steel,127,56,7.1,action
RED,111,60,7.1,action
Spy,119,75,7.1,action
Star Trek Beyond,122,68,7.1,action
Swiss Army Man,97,64,7.1,comedy
The Dressmaker,119,47,7.1,comedy
The Drop,106,69,7.1,drama
The Infiltrator,127,66,7.1,drama
The Intern,121,51,7.1,comedy
The Lobster,119,82,7.1,comedy
The Longest Ride,123,33,7.1,drama
The Lost City of Z,141,78,7.1,action
The Master,144,,7.1,drama
The Princess and the Frog,97,73,7.1,comedy
The Spectacular Now,95,82,7.1,comedy
Tinker Tailor Soldier Spy,122,85,7.1,drama
Transformers,144,61,7.1,action
Vicky Cristina Barcelona,96,70,7.1,drama
War Dogs,114,57,7.1,comedy
Wild,115,76,7.1,drama
X-Men: Apocalypse,144,52,7.1,action
28 Weeks Later,100,78,7,drama
American Honey,163,79,7,drama
Christine,119,72,7,drama
Cinderella,105,67,7,drama
Cloverfield,85,64,7,action
Deja Vu,126,,7,action
Demolition,101,49,7,comedy
Everybody Wants Some!!,117,83,7,comedy
Free Fire,90,63,7,action
Hellboy II: The Golden Army,120,78,7,action
Inland Empire,180,,7,drama
Iron Man 2,124,57,7,action
It's Only the End of the World,97,48,7,drama
Jack Reacher,130,50,7,action
Jurassic World,124,59,7,action
Knocked Up,129,85,7,comedy
Legend,132,55,7,drama
Maleficent,97,56,7,action
Miracles from Heaven,109,44,7,drama
Nymphomaniac: Vol. I,117,64,7,drama
Oblivion,124,54,7,action
One Day,107,48,7,drama
Pacific Rim,131,64,7,action
Passengers,116,41,7,drama
Paul,104,57,7,comedy
