,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
5951,Iseoplantsoen 5,,,,1060 PW,14-10-2015,,house,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49521502-iseoplantsoen-5/,
5952,Veerstraat 71 III,,,,1075 SP,10-10-2015,,apartment,,12-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49528415-veerstraat-71-iii/,
5953,Backershagen 21,,,,1082 GR,19-12-2015,,apartment,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49698583-backershagen-21/,
5954,Leenhofstraat 31,,,,1067 KX,7-11-2015,,apartment,,26-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49656197-leenhofstraat-31/,
5955,Leenhofstraat 47,,,,1067 KZ,7-11-2015,,apartment,,26-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49656199-leenhofstraat-47/,
5956,Dostojevskisingel 67,,,,1102 XK,3-9-2015,,apartment,,11-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49586138-dostojevskisingel-67/,
5957,Nieuwendammerkade 28 A 11,,,,1022 AB,6-10-2015,,apartment,,16-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49513830-nieuwendammerkade-28-a-11/,
5958,Conradstraat 126 H,,,,1018 NM,7-11-2015,,apartment,,30-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49656629-conradstraat-126-h/,
5959,Amstelveenseweg 910 II,,,,1081 JN,4-9-2015,,apartment,,9-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49589624-amstelveenseweg-910-ii/,
5960,Sloterkade 40 -B,,,,1058 HE,22-10-2015,,apartment,,2-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49539893-sloterkade-40-b/,
5961,Waterlooplein 381,,,,1011 PG,17-3-2015,,apartment,,1-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48317874-waterlooplein-381/,
5962,Van der Boechorststraat 84,,,,1081 BW,25-8-2015,,house,,21-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49578635-van-der-boechorststraat-84/,
5963,Julius Pergerstraat 5,,,,1087 KN,2-10-2014,,apartment,,12-6-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48146672-julius-pergerstraat-5/,
5964,Von Zesenstraat 96,,,,1093 BG,25-11-2015,,apartment,,3-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49663695-von-zesenstraat-96/,
5965,Venetiëstraat 70,,,,1019 NJ,7-10-2015,,house,,27-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49513678-venetiestraat-70/,
5966,Hoogte Kadijk 129 I,,,,1018 BH,21-11-2015,,apartment,,14-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49669346-hoogte-kadijk-129-i/,
5967,Insulindeweg 964,,,,1095 DX,14-11-2015,,apartment,,15-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49651911-insulindeweg-964/,
5968,Johannes Vermeerstraat 81 bv,,,,1071 DP,17-11-2015,,apartment,,16-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49665784-johannes-vermeerstraat-81-bv/,
5969,Czaar Peterstraat 92 A,,,,1018 PS,16-10-2015,,apartment,,15-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49522982-czaar-peterstraat-92-a/,
5970,Nieuwe Keizersgracht 446,,,,1018 VG,2-9-2015,,apartment,,28-9-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49585370-nieuwe-keizersgracht-446/,
5971,De Lairessestraat 124 bg,,,,1071 PL,3-11-2015,,apartment,,18-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49540002-de-lairessestraat-124-bg/,
5972,Bolestein 5,,,,1081 CP,1-12-2015,,house,,17-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49679748-bolestein-5/,
5973,Kinkerstraat 301,,,,1053 ET,14-11-2015,,apartment,,11-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49654769-kinkerstraat-301/,
5974,Zuideinde 384,,,,1035 PP,6-11-2015,,house,,19-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49544416-zuideinde-384/,
5975,Da Costastraat 67 bov,,,,1053 ZE,2-9-2015,,apartment,,2-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49586996-da-costastraat-67-bov/,
5976,Griseldestraat 42 -III,,,,1055 AZ,11-9-2015,,apartment,,10-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49595028-griseldestraat-42-iii/,
5977,Amazonenstraat 22 bov,,,,1076 LK,13-10-2015,,apartment,,23-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49520710-amazonenstraat-22-bov/,
5978,Hoogoord 53,,,,1102 CC,2-12-2015,,apartment,,15-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49670800-hoogoord-53/,
5979,Haarlemmerdijk 121 A,,,,1013 KE,3-10-2015,,apartment,,30-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49512990-haarlemmerdijk-121-a/,
5980,Keizersgracht 649 F,,,,1017 DT,1-10-2015,,apartment,,29-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49519964-keizersgracht-649-f/,
5981,Eerste Van Swindenstraat 383 D,,,,1093 GB,3-10-2015,,apartment,,11-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49511414-eerste-van-swindenstraat-383-d/,
5982,Beloegastraat 33,,,,1035 JC,30-7-2015,,house,,13-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49559213-beloegastraat-33/,
5983,Vrolikstraat 180 -hs,,,,1092 TR,1-11-2015,,apartment,,26-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49548793-vrolikstraat-180-hs/,
5984,Nassaukade 356 -B,,,,1054 AA,24-11-2015,,apartment,,10-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49663491-nassaukade-356-b/,
5985,Loodskotterhof 40,,,,1034 CN,16-10-2015,,apartment,,19-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523977-loodskotterhof-40/,
5986,Kerklaan Zunderdorp 36,,,,1027 AP,21-8-2015,,house,,18-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49576744-kerklaan-zunderdorp-36/,
5987,Zeeburger Zilt (Bouwnr. 421),,,,1095 MB,15-10-2015,,apartment,,19-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523454-zeeburger-zilt-bouwnr-421/,
5988,Zeeburger Zilt (Bouwnr. 431),,,,1095 MB,15-10-2015,,apartment,,26-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523457-zeeburger-zilt-bouwnr-431/,
5989,Zeeburger Zilt (Bouwnr. 420),,,,1095 MB,15-10-2015,,apartment,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523442-zeeburger-zilt-bouwnr-420/,
5990,Zeeburger Zilt (Bouwnr. 404),,,,1095 MB,16-10-2015,,apartment,,8-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523132-zeeburger-zilt-bouwnr-404/,
5991,Zeeburger Zilt (Bouwnr. 427),,,,1095 MB,15-10-2015,,apartment,,23-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523456-zeeburger-zilt-bouwnr-427/,
5992,Zeeburger Zilt (Bouwnr. 430),,,,1095 MB,25-11-2015,,apartment,,17-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49663996-zeeburger-zilt-bouwnr-430/,
5993,Zeeburger Zilt (Bouwnr. 401),,,,1095 MB,15-10-2015,,apartment,,11-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49523449-zeeburger-zilt-bouwnr-401/,
5994,Kruislaan 245,,,,1098 SH,22-10-2015,,apartment,,6-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49539273-kruislaan-245/,
5995,Uiterwaardenstraat 46 I,,,,1079 CA,31-10-2015,,apartment,,2-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49549469-uiterwaardenstraat-46-i/,
5996,Overhaalsgang 34,,,,1018 ZT,10-11-2015,,apartment,,27-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49657155-overhaalsgang-34/,
5997,Pieter Calandlaan 821,,,,1069 SC,5-11-2015,,apartment,,20-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49542250-pieter-calandlaan-821/,
5998,Maldenhof 153,,,,1106 ED,5-6-2014,,house,,22-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-48032499-maldenhof-153/,
5999,Bernard Zweerskade 20 III,,,,1077 VA,9-9-2015,,apartment,,29-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49582390-bernard-zweerskade-20-iii/,
6000,Marnixkade 13 -II,,,,1015 XM,11-12-2015,,apartment,,22-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49689553-marnixkade-13-ii/,
6001,Kinderdijkstraat 58 III,,,,1079 GL,23-10-2015,,apartment,,12-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49530416-kinderdijkstraat-58-iii/,
6002,Rustenburgerstraat 140 F,,,,1073 GJ,12-9-2015,,apartment,,15-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49596786-rustenburgerstraat-140-f/,
6003,Eastonstraat 135,,,,1068 JD,31-1-2012,,apartment,,24-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-47373250-eastonstraat-135/,
6004,Tintorettostraat 8 I,,,,1077 RT,26-8-2015,,apartment,,4-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49579625-tintorettostraat-8-i/,
6005,Graaf Florisstraat 19 3v,,,,1091 TE,4-12-2015,,apartment,,24-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49673290-graaf-florisstraat-19-3v/,
6006,Lijnbaansgracht 320 1,,,,1017 WZ,27-6-2015,,apartment,,4-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49428733-lijnbaansgracht-320-1/,
6007,Vrolikstraat 461 C,,,,1092 TK,25-11-2015,,apartment,,15-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49663207-vrolikstraat-461-c/,
6008,Nova Zemblastraat 5 C,,,,1013 RJ,4-11-2015,,apartment,,24-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49542068-nova-zemblastraat-5-c/,
6009,Scherpenzeelstraat 175,,,,1107 HV,20-9-2015,,apartment,,23-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49506898-scherpenzeelstraat-175/,
6010,Van Nijenrodeweg 546,,,,1082 HS,9-12-2015,,apartment,,24-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49687957-van-nijenrodeweg-546/,
6011,Oeverpad 548 + PPL,,,,1068 PM,20-6-2015,,apartment,,19-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49412819-oeverpad-548-ppl/,
6012,Nicolaas Maesstraat 101 -bov,,,,1071 PV,4-9-2015,,apartment,,4-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49589789-nicolaas-maesstraat-101-bov/,
6013,Amazonenstraat 10 I,,,,1076 LJ,13-12-2015,,apartment,,24-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49682872-amazonenstraat-10-i/,
